epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,118.439,1.27775,2.50256,1.21305,0.2811,0.23304,0.19018,0.115,1.73843,5.20875,1.41379,0.000356162,0.000356162,0.000356162
57,177.819,1.26744,2.4484,1.20977,0.2681,0.24761,0.17685,0.0997,1.79358,5.16428,1.44794,0.000343401,0.000343401,0.000343401
58,236.515,1.28466,2.53253,1.22335,0.24524,0.27526,0.18836,0.11102,1.75713,5.11711,1.42196,0.000330717,0.000330717,0.000330717
59,294.909,1.23544,2.36165,1.19562,0.32489,0.21621,0.19084,0.11498,1.73566,5.08367,1.41592,0.000318121,0.000318121,0.000318121
60,353.523,1.26631,2.46039,1.21631,0.27313,0.27274,0.19028,0.11072,1.79026,4.97,1.44128,0.000305627,0.000305627,0.000305627
61,412.269,1.25028,2.38821,1.18506,0.31534,0.23676,0.19576,0.12234,1.64735,4.92743,1.39099,0.000293246,0.000293246,0.000293246
62,471.018,1.25831,2.29623,1.20168,0.38166,0.24389,0.20977,0.12897,1.71281,4.97498,1.41555,0.000280991,0.000280991,0.000280991
63,530.299,1.24797,2.30195,1.19974,0.31146,0.25099,0.21195,0.12873,1.69393,5.01165,1.40052,0.000268874,0.000268874,0.000268874
64,588.454,1.26572,2.27596,1.20273,0.39309,0.2498,0.21355,0.12936,1.71459,5.05214,1.38369,0.000256907,0.000256907,0.000256907
65,647.351,1.22472,2.18299,1.18224,0.31698,0.25343,0.20032,0.12142,1.68789,4.97539,1.40308,0.000245101,0.000245101,0.000245101
66,706.758,1.22227,2.28391,1.17719,0.28785,0.26591,0.20049,0.12563,1.6979,5.02295,1.39623,0.000233469,0.000233469,0.000233469
67,766.322,1.24551,2.20493,1.17191,0.26847,0.30059,0.21003,0.12157,1.77325,5.05259,1.4217,0.000222021,0.000222021,0.000222021
68,825.291,1.24933,2.23143,1.193,0.30316,0.27046,0.20549,0.12887,1.69661,5.01505,1.38895,0.000210769,0.000210769,0.000210769
69,884.449,1.22016,2.16793,1.17863,0.28054,0.28521,0.2152,0.12908,1.72693,5.06048,1.39761,0.000199725,0.000199725,0.000199725
70,943.745,1.23131,2.08688,1.17744,0.37755,0.24611,0.22094,0.13493,1.70287,5.0645,1.38546,0.000188898,0.000188898,0.000188898
71,1002.24,1.16724,2.01199,1.15315,0.30745,0.27296,0.21116,0.12848,1.71568,5.04979,1.40473,0.000178301,0.000178301,0.000178301
72,1060.63,1.20412,2.0058,1.16021,0.28907,0.27545,0.21357,0.13143,1.72018,5.11529,1.39998,0.000167942,0.000167942,0.000167942
73,1119.27,1.18887,1.97444,1.1549,0.44245,0.22338,0.22292,0.13282,1.73412,5.09466,1.41257,0.000157833,0.000157833,0.000157833
74,1178.35,1.21829,2.0618,1.17027,0.35153,0.27938,0.23151,0.14224,1.69391,4.94924,1.37746,0.000147983,0.000147983,0.000147983
75,1237.32,1.1902,2.01183,1.15219,0.32067,0.27661,0.23137,0.14183,1.73394,5.09452,1.3913,0.000138402,0.000138402,0.000138402
76,1296.27,1.18326,1.95734,1.1565,0.33263,0.29943,0.23526,0.14245,1.73192,5.02526,1.39045,0.0001291,0.0001291,0.0001291
77,1355.1,1.17607,1.95495,1.15488,0.47631,0.23896,0.22738,0.13708,1.70684,5.02301,1.38713,0.000120086,0.000120086,0.000120086
78,1414.49,1.20853,2.02865,1.16994,0.3451,0.26797,0.23619,0.14334,1.72754,5.02834,1.3851,0.000111368,0.000111368,0.000111368
79,1473.32,1.17997,1.94732,1.13611,0.3846,0.26661,0.24219,0.14578,1.71339,4.9619,1.38222,0.000102955,0.000102955,0.000102955
80,1532.07,1.19083,1.9584,1.15317,0.34741,0.27027,0.24229,0.14126,1.76677,5.02782,1.40819,9.48564e-05,9.48564e-05,9.48564e-05
81,1591.28,1.17589,1.96641,1.14794,0.41918,0.23744,0.22824,0.13265,1.78026,5.02903,1.42916,8.7079e-05,8.7079e-05,8.7079e-05
82,1650.12,1.192,1.91474,1.14396,0.40864,0.22975,0.22779,0.13586,1.73946,5.09778,1.40892,7.96307e-05,7.96307e-05,7.96307e-05
83,1709.45,1.19647,1.98307,1.16203,0.39722,0.23066,0.22416,0.13977,1.71479,5.019,1.3985,7.2519e-05,7.2519e-05,7.2519e-05
84,1768.23,1.18682,1.93415,1.14757,0.37099,0.25888,0.22617,0.13945,1.70614,5.08036,1.38544,6.57509e-05,6.57509e-05,6.57509e-05
85,1827.75,1.20951,1.96917,1.16145,0.34066,0.25457,0.2235,0.132,1.76097,5.08613,1.40875,5.93331e-05,5.93331e-05,5.93331e-05
86,1887.1,1.19506,1.91985,1.14498,0.40976,0.21929,0.2152,0.12423,1.79078,5.1488,1.42252,5.32718e-05,5.32718e-05,5.32718e-05
87,1945.8,1.16256,1.87837,1.14692,0.32304,0.2591,0.21674,0.13083,1.7324,5.16113,1.40088,4.75731e-05,4.75731e-05,4.75731e-05
88,2004.1,1.16353,1.80966,1.13884,0.33248,0.24631,0.21794,0.13018,1.77558,5.12289,1.41427,4.22426e-05,4.22426e-05,4.22426e-05
89,2063.25,1.19175,1.92902,1.14363,0.37064,0.23901,0.21594,0.12984,1.75488,5.17854,1.40244,3.72856e-05,3.72856e-05,3.72856e-05
90,2122.34,1.17853,1.87878,1.15006,0.42098,0.232,0.21914,0.13334,1.72479,5.08166,1.38654,3.27069e-05,3.27069e-05,3.27069e-05
91,2175.6,1.07803,1.52972,1.09116,0.30071,0.25254,0.21112,0.12924,1.75505,5.25644,1.39458,2.85111e-05,2.85111e-05,2.85111e-05
92,2228.85,1.05035,1.40486,1.06803,0.27248,0.26878,0.21921,0.13521,1.75678,5.23846,1.39871,2.47023e-05,2.47023e-05,2.47023e-05
93,2281.75,1.07783,1.40668,1.08466,0.40799,0.22643,0.21669,0.13294,1.76152,5.22867,1.39763,2.12843e-05,2.12843e-05,2.12843e-05
94,2334.93,1.07625,1.42511,1.08051,0.3847,0.23483,0.21505,0.13161,1.73955,5.21484,1.3922,1.82604e-05,1.82604e-05,1.82604e-05
95,2388.12,1.06852,1.38873,1.08336,0.38154,0.23792,0.21253,0.13012,1.72354,5.17626,1.38325,1.56336e-05,1.56336e-05,1.56336e-05
96,2441.3,1.05244,1.3518,1.08144,0.31365,0.24352,0.21408,0.13091,1.73653,5.19769,1.38608,1.34065e-05,1.34065e-05,1.34065e-05
97,2494.34,1.06614,1.36039,1.08332,0.30077,0.26345,0.2181,0.1338,1.73292,5.2109,1.38272,1.15814e-05,1.15814e-05,1.15814e-05
98,2547.75,1.06729,1.36601,1.07575,0.31728,0.25054,0.21755,0.13459,1.72446,5.21621,1.37956,1.016e-05,1.016e-05,1.016e-05
99,2600.95,1.06861,1.3957,1.07331,0.31307,0.26659,0.22182,0.13473,1.73124,5.16757,1.38092,9.14365e-06,9.14365e-06,9.14365e-06
100,2654.11,1.04694,1.35034,1.07447,0.38555,0.2389,0.21993,0.13299,1.73622,5.21783,1.38556,8.53346e-06,8.53346e-06,8.53346e-06
